id,Level1,Level2,Level3,Level4,Level5,Level6,Level7
0,-73.000000,-57.000000,-69.000000,-75.000000,nan,nan,nan
1,-77.000000,-65.000000,-69.000000,-69.000000,-73.000000,-73.000000,nan
2,-77.000000,-65.000000,-69.000000,-69.000000,-73.000000,-73.000000,nan
3,-77.000000,-61.000000,-65.000000,-67.000000,-73.000000,-81.000000,nan
4,-77.000000,-61.000000,-65.000000,-67.000000,-73.000000,-81.000000,nan
5,-77.000000,-55.000000,-69.000000,-71.000000,-71.000000,-83.000000,nan
6,-77.000000,-55.000000,-69.000000,-71.000000,-71.000000,-83.000000,nan
7,-79.000000,-53.000000,-71.000000,-71.000000,-75.000000,-85.000000,nan
8,-79.000000,-53.000000,-71.000000,-71.000000,-75.000000,-85.000000,nan
9,-79.000000,-59.000000,-67.000000,-71.000000,-73.000000,-85.000000,nan
10,-79.000000,-59.000000,-67.000000,-71.000000,-73.000000,-85.000000,nan
11,-81.000000,-61.000000,-71.000000,-71.000000,-77.000000,-83.000000,nan
12,-81.000000,-61.000000,-71.000000,-71.000000,-77.000000,-83.000000,nan
13,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan
14,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan
15,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan
16,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan
17,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan
18,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan
19,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan
20,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan
21,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan
22,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan
23,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan
24,-73.000000,-55.000000,-65.000000,-67.000000,-69.000000,-79.000000,nan
25,-73.000000,-55.000000,-65.000000,-67.000000,-69.000000,-79.000000,nan
26,-73.000000,-55.000000,-65.000000,-67.000000,-69.000000,-79.000000,nan
27,-73.000000,-55.000000,-65.000000,-67.000000,-69.000000,-79.000000,nan
28,-75.000000,-49.000000,-57.000000,-65.000000,-67.000000,-79.000000,nan
29,-75.000000,-49.000000,-57.000000,-65.000000,-67.000000,-79.000000,nan
30,-75.000000,-49.000000,-57.000000,-65.000000,-67.000000,-79.000000,nan
31,-75.000000,-49.000000,-57.000000,-65.000000,-67.000000,-79.000000,nan
32,-75.000000,-53.000000,-57.000000,-67.000000,-67.000000,-77.000000,nan
33,-75.000000,-53.000000,-57.000000,-67.000000,-67.000000,-77.000000,nan
34,-75.000000,-53.000000,-57.000000,-67.000000,-67.000000,-77.000000,nan
35,-77.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan
36,-77.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan
37,-77.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan
38,-67.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan
39,-67.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan
40,-67.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan
41,-71.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan
42,-71.000000,-57.000000,-63.000000,-67.000000,-71.000000,-83.000000,nan
43,-71.000000,-57.000000,-63.000000,-67.000000,-71.000000,-83.000000,nan
44,-71.000000,-57.000000,-63.000000,-67.000000,-71.000000,-83.000000,nan
45,-71.000000,-61.000000,-65.000000,-69.000000,-75.000000,-85.000000,nan
46,-71.000000,-61.000000,-65.000000,-69.000000,-75.000000,-85.000000,nan
47,-73.000000,-55.000000,-67.000000,-73.000000,-79.000000,-81.000000,nan
48,-73.000000,-55.000000,-67.000000,-73.000000,-79.000000,-81.000000,nan
